,sentence,label
50,"The start of the movie was deeply , but overall it was bad !",0
51,"The start of the movie was smart , but overall it was worst !",0
52,"The start of the movie was terrific , but overall it was dull !",0
53,"The start of the movie was rare , but overall it was mess !",0
54,"The start of the movie was part , but overall it was minutes !",0
55,"The start of the movie was performances , but overall it was problem !",0
56,"The start of the movie was engrossing , but overall it was contrived !",0
57,"The start of the movie was touching , but overall it was suffers !",0
58,"The start of the movie was human , but overall it was neither !",0
59,"The start of the movie was spirit , but overall it was flat !",0
60,"The start of the movie was remarkable , but overall it was feels !",0
61,"The start of the movie was cinema , but overall it was idea !",0
62,"The start of the movie was best , but overall it was another !",0
63,"The start of the movie was enjoyable , but overall it was fails !",0
64,"The start of the movie was wonderful , but overall it was reason !",0
65,"The start of the movie was beautiful , but overall it was pretentious !",0
66,"The start of the movie was powerful , but overall it was thing !",0
67,"The start of the movie was moving , but overall it was less !",0
68,"The start of the movie was beautifully , but overall it was none !",0
69,"The start of the movie was solid , but overall it was stupid !",0
70,"The start of the movie was works , but overall it was plot !",0
71,"The start of the movie was fascinating , but overall it was lack !",0
72,"The start of the movie was heart , but overall it was comes !",0
73,"The start of the movie was fun , but overall it was mediocre !",0
74,"The start of the movie was entertaining , but overall it was instead !",0
75,"I liked the deeply music of the movie , but the bad acting was enough to make me not enjoy it .",0
76,"I liked the smart music of the movie , but the worst acting was enough to make me not enjoy it .",0
77,"I liked the terrific music of the movie , but the dull acting was enough to make me not enjoy it .",0
78,"I liked the rare music of the movie , but the mess acting was enough to make me not enjoy it .",0
79,"I liked the part music of the movie , but the minutes acting was enough to make me not enjoy it .",0
80,"I liked the performances music of the movie , but the problem acting was enough to make me not enjoy it .",0
81,"I liked the engrossing music of the movie , but the contrived acting was enough to make me not enjoy it .",0
82,"I liked the touching music of the movie , but the suffers acting was enough to make me not enjoy it .",0
83,"I liked the human music of the movie , but the neither acting was enough to make me not enjoy it .",0
84,"I liked the spirit music of the movie , but the flat acting was enough to make me not enjoy it .",0
85,"I liked the remarkable music of the movie , but the feels acting was enough to make me not enjoy it .",0
86,"I liked the cinema music of the movie , but the idea acting was enough to make me not enjoy it .",0
87,"I liked the best music of the movie , but the another acting was enough to make me not enjoy it .",0
88,"I liked the enjoyable music of the movie , but the fails acting was enough to make me not enjoy it .",0
89,"I liked the wonderful music of the movie , but the reason acting was enough to make me not enjoy it .",0
90,"I liked the beautiful music of the movie , but the pretentious acting was enough to make me not enjoy it .",0
91,"I liked the powerful music of the movie , but the thing acting was enough to make me not enjoy it .",0
92,"I liked the moving music of the movie , but the less acting was enough to make me not enjoy it .",0
93,"I liked the beautifully music of the movie , but the none acting was enough to make me not enjoy it .",0
94,"I liked the solid music of the movie , but the stupid acting was enough to make me not enjoy it .",0
95,"I liked the works music of the movie , but the plot acting was enough to make me not enjoy it .",0
96,"I liked the fascinating music of the movie , but the lack acting was enough to make me not enjoy it .",0
97,"I liked the heart music of the movie , but the comes acting was enough to make me not enjoy it .",0
98,"I liked the fun music of the movie , but the mediocre acting was enough to make me not enjoy it .",0
99,"I liked the entertaining music of the movie , but the instead acting was enough to make me not enjoy it .",0
